reference,statut,licence,credit,raison,artistes,musee,ville,titre,presence_image,artiste_sous_droits,image,notice_pop,http,verifie_le
04240000024,restricted,,© Mathieu Lombard (utilisation soumise à autorisation),mention restrictive : utilisation soumise a autorisation,Jean-Baptiste Oudry,musée Adrien Mentienne,Bry-sur-Marne,Portrait de Madame du Laurent,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/04240000024/09ba3a20e78ba02c5a10.jpg,https://pop.culture.gouv.fr/notice/joconde/04240000024,200,2026-07-29
04450000713,unknown,,© PAITRAULT Angélique,crédit sans licence explicite,Fragonard,Palais-musée des Archevêques de Narbonne,Narbonne,La délivrance de saint Pierre,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/04450000713/M044500_862-1-4-1ezhtz5_1.jpg,https://pop.culture.gouv.fr/notice/joconde/04450000713,200,2026-07-29
04450000740,unknown,,© Catherine LAUTHELIN,crédit sans licence explicite,Le Guerchin,Palais-musée des Archevêques de Narbonne,Narbonne,Judith tenant la tête d'Holopherne,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/04450000740/M044500_872-1-1-116tpv6_1.jpg,https://pop.culture.gouv.fr/notice/joconde/04450000740,200,2026-07-29
04450000800,unknown,,© Photographer:Fouinoflex,crédit sans licence explicite,Ribera,Palais-musée des Archevêques de Narbonne,Narbonne,Mendiant recroquevillé,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/04450000800/M044500_859-3-74-zrabhj_1.jpg,https://pop.culture.gouv.fr/notice/joconde/04450000800,200,2026-07-29
04450000862,unknown,,© LEPAGE Jean,crédit sans licence explicite,David Téniers,Palais-musée des Archevêques de Narbonne,Narbonne,Le jeu de boules,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/04450000862/M044500_859-3-89-12z2ttq_1.jpg,https://pop.culture.gouv.fr/notice/joconde/04450000862,200,2026-07-29
04450000864,unknown,,© LEPAGE Jean,crédit sans licence explicite,David Téniers,Palais-musée des Archevêques de Narbonne,Narbonne,Le tir à l'arc,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/04450000864/M044500_859-3-90-q0xpkp_1.jpg,https://pop.culture.gouv.fr/notice/joconde/04450000864,200,2026-07-29
04520000001,unavailable,,,aucune image sur POP,Hyacinthe Rigaud,musée Cévenol,Le Vigan,"Portrait de François-Marie Peyrenc, marquis de Moras",non,,,https://pop.culture.gouv.fr/notice/joconde/04520000001,,
04520000002,unavailable,,,aucune image sur POP,Hyacinthe Rigaud,musée Cévenol,Le Vigan,"Portrait d'Abraham Peyrenc, marquis de Moras",non,,,https://pop.culture.gouv.fr/notice/joconde/04520000002,,
05030002954,unknown,,© Réunion des musées nationaux-Grand Palais/Benoît Touchard,crédit sans licence explicite,Boucher,musée d'Art et d'Archéologie,Guéret,Jeune femme drapée entraînée par deux hommes,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/05030002954/0000007.jpg,https://pop.culture.gouv.fr/notice/joconde/05030002954,200,2026-07-29
05120000046,unknown,,Mangin,crédit sans licence explicite,David Téniers,musée des Beaux-Arts,Nancy,Le Torrent,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/05120000046/0000688.jpg,https://pop.culture.gouv.fr/notice/joconde/05120000046,200,2026-07-29
