reference_joconde,titre_joconde,artiste,musee,numero_inventaire,etat,titre_gallica,ark,licence,source,raisons
M0537039150,LA MAISON DU PASSEUR / MODESTE DEMEURE / DÉSORMAIS CÉLÈBRE (titre inscrit),louis-morinet,musée de l'image,2010.5.5453 B,refusee,,,,Gallica (BnF),le musée conserve 3 notices de ce titre : l'exemplaire visé serait indéterminé
M0537039187,UNE ATTAQUE À LA BAÏONNETTE (titre inscrit),louis-morinet,musée de l'image,2010.5.5488 B,refusee,,,,Gallica (BnF),le musée conserve 2 notices de ce titre : l'exemplaire visé serait indéterminé
M0537039171,CAMBRIOLAGE MILITAIRE / LES DÉMÉNAGEURS (ASPECT SIMPLE) (titre inscrit),louis-morinet,musée de l'image,2010.5.5473 B,refusee,,,,Gallica (BnF),le musée conserve 2 notices de ce titre : l'exemplaire visé serait indéterminé
M0537039172,LES PETITS POILUS DE LA CLASSE 1935 (ASPECT / SIMPLE) (titre inscrit),louis-morinet,musée de l'image,2010.5.5474 B,refusee,,,,Gallica (BnF),le musée conserve 2 notices de ce titre : l'exemplaire visé serait indéterminé
M0537039192,Le POILU-TYPE (titre inscrit),louis-morinet,musée de l'image,2010.5.5493 B,refusee,,,,Gallica (BnF),le musée conserve 2 notices de ce titre : l'exemplaire visé serait indéterminé
M0537039084,AUTOUR D'UN POSTE DE SECOURS / AMÉRICAIN (titre inscrit),louis-morinet,musée de l'image,2010.5.919 B,refusee,,,,Gallica (BnF),le musée conserve 6 notices de ce titre : l'exemplaire visé serait indéterminé
M0537039156,KAMERAD ! (titre inscrit),louis-morinet,musée de l'image,2010.5.5458 B,refusee,,,,Gallica (BnF),le musée conserve 2 notices de ce titre : l'exemplaire visé serait indéterminé
M0537039161,BARAQUEMENTS ANGLAIS / A L'ARRIÈRE DU FRONT (titre inscrit),louis-morinet,musée de l'image,2010.5.5463 B,refusee,,,,Gallica (BnF),le musée conserve 2 notices de ce titre : l'exemplaire visé serait indéterminé
M0537039165,JEU DE MARELLE FRANCO - BRITANNIQUE (titre inscrit),louis-morinet,musée de l'image,2010.5.5467 B,refusee,,,,Gallica (BnF),le musée conserve 3 notices de ce titre : l'exemplaire visé serait indéterminé
M0537039236,GRAINES DE POILUS (titre inscrit),louis-morinet,musée de l'image,2010.5.5537 B,refusee,,,,Gallica (BnF),le musée conserve 2 notices de ce titre : l'exemplaire visé serait indéterminé
M0537039067,"- GUERRE DE 1914 - CONTINGENTS HINDOUS / qui ont pris part, dans les Corps Anglais, aux combats du Nord (titre inscrit)",louis-morinet,musée de l'image,2010.5.753 B,refusee,,,,Gallica (BnF),le musée conserve 3 notices de ce titre : l'exemplaire visé serait indéterminé
M0537039184,UNE REVUE SUR LE FRONT OÙ LE GÉNÉRAL JOFFRE REMET DES DÉCORATIONS / DEVANT LE PRÉSIDENT DE LA RÉPUBLIQUE ET LE MINISTRE DE LA GUERRE (titre inscrit),louis-morinet,musée de l'image,2010.5.5485 B,refusee,,,,Gallica (BnF),le musée conserve 2 notices de ce titre : l'exemplaire visé serait indéterminé
M0537039160,A L'ÉTAT-MAJOR DU GÉNÉRAL JOFFRE (titre inscrit),louis-morinet,musée de l'image,2010.5.5462 B,refusee,,,,Gallica (BnF),le musée conserve 2 notices de ce titre : l'exemplaire visé serait indéterminé
M0537039194,OMBRES HUMORISTIQUES ANIMÉES (titre inscrit),louis-morinet,musée de l'image,2010.5.5495 B,introuvable,,,,Gallica (BnF),aucune notice Gallica pour ce titre
M0537004358,- INFANTERIE FRANCAISE A LA REVUE - (titre inscrit),louis-morinet,musée de l'image,D 996.1.4206 B,exacte,"Imagerie d'Epinal. N° 2000, Personnages à aspect complet : genre assimilé à grandes constructions. Infanterie française à la revue : [estampe]",https://gallica.bnf.fr/ark:/12148/btv1b550018489,domaine public,Gallica (BnF),"titre retrouvé dans « Imagerie d'Epinal. N° 2000, Personnages à aspect complet : genre assim » ; éditeur Pellerin des deux côtés ; dates compatibles (1902 / 1902) ; domaine public déclaré par la BnF"
M0537072640,LE BOUQUET NATIONAL / Les Costumes de Melle Lili (titre inscrit),louis-morinet,musée de l'image,2020.17.8 B,refusee,,,,Gallica (BnF),le musée conserve 3 notices de ce titre : l'exemplaire visé serait indéterminé
M0537072635,UNE SALLE D'AMBULANCE / DE LA CROIX-ROUGE : (titre inscrit),louis-morinet,musée de l'image,2020.17.3 B,refusee,,,,Gallica (BnF),le musée conserve 3 notices de ce titre : l'exemplaire visé serait indéterminé
M0537072639,MA CANTINE / DRAPEAUX & / TENUES DE GUERRE / DE SIX DES / NATIONS ALLIÉES (titre inscrit),louis-morinet,musée de l'image,2020.17.7 B,refusee,,,,Gallica (BnF),le musée conserve 2 notices de ce titre : l'exemplaire visé serait indéterminé
M0537072633,LE DOMINO / DES ALLIÉS (titre inscrit),louis-morinet,musée de l'image,2020.17.1 B,refusee,,,,Gallica (BnF),le musée conserve 3 notices de ce titre : l'exemplaire visé serait indéterminé
