famille,categorie,champ_source,extrait,auteur,precisions_auteur,ancienne_attribution,titre,denomination,domaine,musee,ville,reference,lien_pop,verdict,commentaire
? (point d'interrogation),doute,Auteur,"GUIDO di Pietro (?);GUIDO di Pietro;ANGELICO FRA (dit, ?)","GUIDO di Pietro (?);GUIDO di Pietro;ANGELICO FRA (dit, ?)","Vicchio di Mugello, vers 1400 ; Rome, 1455","ANGELICO FRA, ATELIER (BERENSON) ; SANGUIGNI, ? (POPE-HENNESSY)",La décollation de saint Jean Baptiste et le banquet d'Hérode,élément d'ensemble;retable;prédelle,peinture;croyances - coutumes,musée du Louvre,Paris,000PE024631,https://pop.culture.gouv.fr/notice/joconde/000PE024631,,
? (point d'interrogation),doute,Auteur,LA BELLE JARDINIERE (?),LA BELLE JARDINIERE (?),,,,pantalon (élément d'ensemble);habit,costume - accessoires du costume;ethnologie,musée municipal,Vendôme,M0277002599,https://pop.culture.gouv.fr/notice/joconde/M0277002599,,
école de,doute,Auteur,BRUEGHEL Jan I (école),BRUEGHEL Jan I (école),"Bruxelles, 1568 ; Anvers, 1625",ancienne attribution : BRUEGEL Jan I,"Route animée de figures, sur une hauteur d'où l'on voit une plaine étendue",,dessin,musée du Louvre,Paris,50350109896,https://pop.culture.gouv.fr/notice/joconde/50350109896,,
école de,doute,Auteur,ECOLE DE PRIMATICCIO;ECOLE DE FONTAINEBLEAU,ECOLE DE PRIMATICCIO;ECOLE DE FONTAINEBLEAU,,ancienne attribution : INCONNU,"Un enfant debout, nu, deux bras relevés",,dessin,musée du Louvre,Paris,50350005839,https://pop.culture.gouv.fr/notice/joconde/50350005839,,
école de,doute,Auteur,POLLAIUOLO Antonio (école),POLLAIUOLO Antonio (école),né entre 1431-1432 ; mort en 1498,,"Jeune apprenti florentin, assis de trois-quarts vers la droite",album,dessin,musée du Louvre,Paris,50350215471,https://pop.culture.gouv.fr/notice/joconde/50350215471,,
école de,doute,Auteur,ECOLE DE FONTAINEBLEAU (verrier);COXCIE Michel (d…,"ECOLE DE FONTAINEBLEAU (verrier);COXCIE Michel (d'après, attribué à);MAITRE AU DE (d'après)","COXCIE : Malines, 1499 ; Malines, 1592 ; nationalité : Flamande#maître au dé :  ?, 1512, vers ; Rome, 1570 ; nationalité : Italienne",,Histoire de Psyché (44) : Psyché trie les un amas de graines,verrière;élément d'ensemble,vitrail;arts décoratifs;architecture,musée Condé,Chantilly,50520005241,https://pop.culture.gouv.fr/notice/joconde/50520005241,,
école de,doute,Auteur,ABBATE Nicolo dell' (école),ABBATE Nicolo dell' (école),"Modène, vers 1509 ou 1512 ; Fontainebleau ou Paris, 1571 (?)",CARON ANTOINE (EHRMANN EN 1945),MASSACRE DU TRIUMVIRAT,tableau,peinture;histoire,MUDO - musée de l'Oise,Beauvais,000PE026529,https://pop.culture.gouv.fr/notice/joconde/000PE026529,,
école de,doute,Auteur,BONACCORSI Piero (école),BONACCORSI Piero (école),né en 1501 ; mort en 1547,ancienne attribution : ANONYME ITALIEN XVIe s,Diverses études dont un soldat arrachant un enfant à une femme,,dessin,musée du Louvre,Paris,50350200711,https://pop.culture.gouv.fr/notice/joconde/50350200711,,
école de,doute,Auteur,"POURBUS Frans II;POURBUS le Jeune (dit, école)","POURBUS Frans II;POURBUS le Jeune (dit, école)","Anvers, 1569-1570 ; Paris, 1622)",,PERSONNAGE HOLLANDAIS DE LA FIN DU XVIE SIECLE,tableau,peinture,musée national des châteaux de Versailles et de Trianon,Versailles,000PE013045,https://pop.culture.gouv.fr/notice/joconde/000PE013045,,
école de,doute,Auteur,Rubens Petrus Paulus (1577-1640) (école),Rubens Petrus Paulus (1577-1640) (école),né en 1577 ; mort en 1640,"Copie d'après, RUBENS Peter Paulus",Chute de saint Paul,,dessin,musée du Louvre,Paris,50350110501,https://pop.culture.gouv.fr/notice/joconde/50350110501,,
école de,doute,Auteur,ALBERTI Giovanni (école),ALBERTI Giovanni (école),né en 1558 ; mort en 1601,ancienne attribution : ANONYME ITALIEN XVIIe s,"Putti volant, portant l'écu couronné et les boules des Médicis",,dessin,musée du Louvre,Paris,50350104704,https://pop.culture.gouv.fr/notice/joconde/50350104704,,
école de,doute,Ecole_pays,Abstraction;Nouvelle Ecole de Paris,Bissière Roger (1886-1964);Atelier Leblanc,"Bissière Roger : Villeréal, 22/09/1886 ; Marmignac, 02/12/1964 ; nationalité : Française",,Bleue,,estampe;art contemporain,musées de la Cour d'or,Metz,05290000264,https://pop.culture.gouv.fr/notice/joconde/05290000264,,
école de,doute,Auteur,RENI Guido (école);anonyme,RENI Guido (école);anonyme,né en 1575 ; mort en 1642,,Deux angelots dans les nuages,,dessin,musée du Louvre,Paris,50350006041,https://pop.culture.gouv.fr/notice/joconde/50350006041,,
école de,doute,Auteur,CARRUCCI Jacopo (école);PONTORMO IL (dit),CARRUCCI Jacopo (école);PONTORMO IL (dit),"Pontormo, 1494 ; Florence, 1557",,VIERGE A L'ENFANT,tableau,peinture,musée de la Chartreuse,Douai,00000060730,https://pop.culture.gouv.fr/notice/joconde/00000060730,,
école de,doute,Auteur,DUGHET Gaspard (école);anonyme,DUGHET Gaspard (école);anonyme,né en 1615 ; mort en 1675,,Paysage avec un homme guidant un âne sur lequel une femme est assise,,dessin,musée du Louvre,Paris,50350100251,https://pop.culture.gouv.fr/notice/joconde/50350100251,,
école de,doute,Auteur,LE BRUN Charles (école),LE BRUN Charles (école),né en 1619 ; mort en 1690,,"Homme demi-nu, de profil, marchant vers la droite",,dessin,musée du Louvre,Paris,50350208157,https://pop.culture.gouv.fr/notice/joconde/50350208157,,
école de,doute,Auteur,LE BRUN Charles (école),LE BRUN Charles (école),né en 1619 ; mort en 1690,,"Plan de l'appartement du roi, à Versailles",,dessin;cartes - plans,musée du Louvre,Paris,50350208073,https://pop.culture.gouv.fr/notice/joconde/50350208073,,
atelier (qualificatif de doute),doute,Auteur,Vignier Henri (atelier),Vignier Henri (atelier),"Entre 1853 et 1868, Henri Vignier est installé 16 rue Jean-Jacques Rousseau à Paris",,,pot à pharmacie;couvercle,céramique;hygiène - médecine - santé;ethnologie,musée de la vie bourguignonne,Dijon,01390002758,https://pop.culture.gouv.fr/notice/joconde/01390002758,,
atelier (qualificatif de doute),doute,Auteur,MARATTI Carlo (atelier),MARATTI Carlo (atelier),né en 1625 ; mort en 1713,attribué à : MARATTI Carlo,"Un homme nu bras croisés sur la poitrine, tête inclinée sur l'épaule",,dessin,musée du Louvre,Paris,50350100629,https://pop.culture.gouv.fr/notice/joconde/50350100629,,
atelier (qualificatif de doute),doute,Auteur,BARNABA DA MODENA (atelier),BARNABA DA MODENA (atelier),,"GIOTTO, ECOLE DE (CAMPANA, CORNU) ; VOLTRI NICOLLO DA, ? (PERDRIZET-JEAN, LACLOTTE)","LA VIERGE ET L'ENFANT, ENTRE SAINT JEAN-BAPTISTE ET SAINT MICHEL",tableau (3);retable à panneaux compartimentés,peinture;croyances - coutumes,musée du Petit Palais,Avignon,000PE012486,https://pop.culture.gouv.fr/notice/joconde/000PE012486,,
atelier (qualificatif de doute),doute,Auteur,BUQUET (atelier),BUQUET (atelier),,,Napoléon à Sainte-Hélène,,dessin,musée des Traditions et Arts Normands,Martainville-Epreville,07250016040,https://pop.culture.gouv.fr/notice/joconde/07250016040,,
atelier (qualificatif de doute),doute,Auteur,VAUCANSON (ateliers),VAUCANSON (ateliers),"VAUCANSON (ateliers) : Février 1914 : Fondation de la société Vaucanson, du nom d'un grand inventeur d'automates mécaniques du XVIIIe siècle, elle prend la suite de la maison Lamazière et Bunzli à Blesdal (lieu dit de la commune de Saint-Aubin-le-Cauf) 1917 : Construction de nouveaux ateliers de 4800 m2au cour de la commune. Une cité ouvrière est construite le long de la rue qui borde l'usine. De 1918 à 1955 : Fabrication d'enregistreurs Flaman ou ' mouchards de locomotive ', ainsi que des machines à calculer, des pièces pour l'automobile et les appareils cinématographiques. 1955 : La société Ericsson acquiert une place majoritaire dans l'entreprise. L'usine est agrandie et modernisée pour se lancer dans la fabrication d'appareils et de centraux téléphoniques. 1963 : L'entreprise emploie 680 personnes et produit 500 000 postes téléphoniques par an. Plusieurs maisons ouvrières sont construites dans l'avenue face à l'usine pour les employés et les cadres de l'entreprise. Années 1970 : près de 1200 employés et plusieurs millions d'appareils fabriqués chaque année dans l'entreprise. Milieu des années 1980 : premières difficultés financières. Rachat de l'entreprise par Thomson puis Alcatel. 1992 : fermeture de l'entreprise. Les bâtiments sont repris par la société Sonas Automotive. En mai 2009 : Sonas Automotive ets rachetée par le groupe Halberg Février 2010 : le groupe ADESNA (Atelier de découpe et d'emboutissage de Saint-Nicolas d'Aliermont) rachète Sonas.",,,fusée d'obus,sciences - techniques;vie militaire,musée de l'Horlogerie,Saint-Nicolas-d'Aliermont,07350001554,https://pop.culture.gouv.fr/notice/joconde/07350001554,,
atelier (qualificatif de doute),doute,Auteur,CLOUET François (atelier),CLOUET François (atelier),"Bruxelles, vers 1486 ; Paris, 1540",,Jeanne d'Halluin dame de Robertet baronne d'Alluye (née en 1530),,dessin,musée Condé,Chantilly,00000106816,https://pop.culture.gouv.fr/notice/joconde/00000106816,,
atelier (qualificatif de doute),doute,Auteur,HOFFMANN Nicolaus (atelier),HOFFMANN Nicolaus (atelier),"Darmstadt, 1740 ; Darmstadt, vers 1823",,"Forez, Béarn, Agenois",élément d'ensemble,dessin,musée franco-américain du château de Blérancourt,Blérancourt,000DE025384,https://pop.culture.gouv.fr/notice/joconde/000DE025384,,
