rang,musee,ville,code_museofile,notices,sans_licence,soumises_a_autorisation,photographes_credites,artistes_principaux,exemple_notice_pop
29,musée Granet,Aix-en-Provence,M0894,10,10,0,"© ALMODOVAR, Claude | © Claude Almodovar / musée Granet, Ville d'Aix-en-Provence","Salvator Rosa, Luca Giordano, Gaspard Dughet, Carlo Maratti, Rubens",https://pop.culture.gouv.fr/notice/joconde/08940004368
30,musée des beaux-arts et d'archéologie,Dole,M0347,9,0,9,© Jean-Loup Mathieu (Eurêka) - utilisation soumise à autorisation ; © musée des beaux-arts de Dole | © Jean-Loup Mathieu (Eurêka) - utilisation soumise à autorisation ; studio Chechillot | Jean-Loup Mathieu (Eurêka) - utilisation soumise à autorisation ; musée des beaux-arts de Dole | © Jean -Loup Mathieu (Eurêka) ; studio Chechillot ; Catherine Scheck - utilisation soumise à autorisation,"David Téniers, Paul Bril, Luca Giordano, Nicolas de Largillière, Andrea del Sarto ; Michel-Ange",https://pop.culture.gouv.fr/notice/joconde/M0347000652
31,musée d’ethnographie corse,Bastia,M0329,8,8,0,© JAMBERT ; Jean André Bertozzi / ADGAP | © JAMBERT ; JA.Bertozzi-ADGAP | Jean André Bertozzi / ADGAP | © Edith Weigel,"Salvator Rosa, Federico Zuccaro, Luca Cambiaso, Véronèse, Luca Giordano",https://pop.culture.gouv.fr/notice/joconde/03290005058
32,musée municipal,Pithiviers,M0289,8,8,0,© Matthieu Dussauge | © Matthieu Dussauge ; © musée d'Art et d'Histoire - Pithiviers,"Ludovico Carracci, Le Primatice, Le Pérugin, Jacques-Louis David, Géricault",https://pop.culture.gouv.fr/notice/joconde/M0289002503
33,musée départemental d'art ancien et contemporain,Epinal,M0536,8,8,0,© Claude Philippot | © PHILIPPOT Claude | © Imatec Lionel AUDINET-Daniel CHAUBARD,"Nicolas de Largillière, Luca Giordano, Ribera, Carlo Maratti, Salvator Rosa",https://pop.culture.gouv.fr/notice/joconde/M0536000395
34,musée municipal,La Roche-sur-Yon,M0776,7,7,0,© musée de la Roche-sur-Yon | © musée de La Roche-sur-Yon,"Joseph Vernet, Bouchardon, Jacques-Louis David, Greuze, Rubens",https://pop.culture.gouv.fr/notice/joconde/00000077064
35,musée des Beaux-Arts,Strasbourg,M0019,7,7,0,"© Service photographique des Musées de Strasbourg, © BACHER | Service photographique des Musées de Strasbourg | © Service photographique des Musées de Strasbourg, © BACHER, © PLISSON | © Service photographique des Musées de Strasbourg, © BACHER, © BERTOLA","Van Dyck, David Téniers, Rembrandt",https://pop.culture.gouv.fr/notice/joconde/00190022478
36,musée de la Chartreuse,Douai,M0619,7,7,0,musée de la Chartreuse à Douai | (crédit vide) | © musée de la Chartreuse à Douai,"Guido Reni, David Téniers, Botticelli, Le Primatice, Van Dyck",https://pop.culture.gouv.fr/notice/joconde/06190000063
37,musée d'art Roger-Quillot,Clermont-Ferrand,M0121,7,7,0,"Ville de Clermont-Ferrand MARQ | © J.C. Sergère, musée d'art Roger-Quilliot | Ville de Clermont-Ferrand MARQ ; Thibaut Mazen | Ville de Clermont-Ferrand MARQ ;  JC SERGERE","Boucher, Géricault, Luca Giordano, Hyacinthe Rigaud, Guido Reni",https://pop.culture.gouv.fr/notice/joconde/M0121001933
38,musée Hyacinthe Rigaud,Perpignan,M0491,7,7,0,"© Claire Muchir, ville de Perpignan | © Ville de Perpignan. Musée d'art Hyacinthe Rigaud - Pascale Marchesan | © Claire Muchir","Federico Zuccaro, Bouchardon, Boucher, Luca Cambiaso, Annibale Carracci",https://pop.culture.gouv.fr/notice/joconde/M0491000943
39,Palais-musée des Archevêques de Narbonne,Narbonne,M0445,6,6,0,© LEPAGE Jean | © PAITRAULT Angélique | © Catherine LAUTHELIN | © Photographer:Fouinoflex,"David Téniers, Jacques-Louis David, Fragonard, Le Guerchin, Ribera",https://pop.culture.gouv.fr/notice/joconde/04450000139
40,musée des ursulines,Mâcon,M0172,5,5,0,© Musées de Mâcon | © musées de Mâcon | © Jean-Claude Culas - Musées de Mâcon,"Boucher, Israël Henriet, Pierre Mignard, Ludovico Carracci",https://pop.culture.gouv.fr/notice/joconde/01720000218
41,musée d'art et d'histoire Saint-Germain,Auxerre,M0184,5,5,0,"Berry Emmanuel, musées d'Auxerre | musées d'Auxerre","Gaspard Dughet, Charles Le Brun, Ribera, Louis Léopold Boilly",https://pop.culture.gouv.fr/notice/joconde/01840000018
42,musée des Beaux-Arts,Nancy,M0512,5,5,0,Mangin | Maertens | © Philippot | © Phillipot ; Cliché M. Bourguet,"David Téniers, Federico Barocci, Luca Giordano, Nicolas Poussin, Corneille de Lyon",https://pop.culture.gouv.fr/notice/joconde/05120000046
43,musée Thomas-Henry,Cherbourg-en-Cotentin,M0677,5,0,5,© Daniel Sohier - utilisation soumise à autorisation | Daniel Sohier - utilisation soumise à autorisation,"Ribera, Van Dyck, Guido Reni, Le Guerchin",https://pop.culture.gouv.fr/notice/joconde/06770000214
